Month,Actual Count,Observation 1 (Eq 1),Error (Eq 1),Observation 2 (Eq 2),Error (Eq 2),Observation 3 (Eq 3),Error (Eq 3)
1,40,34.336,5.6640000000000015,36.916,3.084000000000003,38.521,1.4789999999999992
2,22,29.22,7.219999999999999,28.362999999999996,6.362999999999996,26.4005,4.400500000000001
3,24,24.701999999999995,0.7019999999999946,22.56199999999999,1.4380000000000095,21.042800000000003,2.9571999999999967
4,21,20.781999999999996,0.21800000000000352,18.900999999999996,2.0990000000000038,19.161700000000007,1.8382999999999932
5,16,17.46,1.4600000000000009,16.768,0.7680000000000007,18.36380000000001,2.3638000000000083
6,19,14.735999999999994,4.2640000000000065,15.550999999999988,3.4490000000000123,17.14850000000002,1.8514999999999802
7,12,12.609999999999996,0.6099999999999959,14.637999999999998,2.637999999999998,14.908000000000058,2.908000000000058
8,12,11.081999999999997,0.9180000000000028,13.417000000000002,1.4170000000000016,11.927300000000002,0.07269999999999754
9,11,10.151999999999997,0.8480000000000025,11.275999999999996,0.27599999999999625,9.384200000000021,1.6157999999999788
10,8,9.82,1.8200000000000003,7.603000000000009,0.39699999999999136,9.349300000000028,1.349300000000028
